Review,y_rasa,c_rasa,y_pelayanan,c_pelayanan,y_tempat,c_tempat,y_harga,c_harga
memang cukup luas dan sepi tempatnya. untuk rasa makanannya menurutku biasa aja sih,0,1,0,0,0,1,0,0
"Tempatnya gak nyaman, banyak nyamuk. Rasa makanannya juga biasa aja. Harganya ga worth it dengan kualitasnya",0,1,0,0,-1,1,-1,1
"Gak bakal balik lagi ke sini, pelayanannya buruk dan makanannya dingin. Dan harganya mahal pula",-1,1,-1,1,0,0,-1,1
Harganya terlalu mahal untuk rasa yang mengecewakan seperti ini.,-1,1,0,0,0,0,-1,1
"Kasir jutek. Makanan lama dateng, porsi kecil tapi overpriced mana rasanya biasa aja ga enak-enak banget",0,1,-1,1,0,0,-1,1
"Makanan disini sangat enak , kamar mandi juga bersih, terlebih lagi harganya sangat terjangkau aku akan kembali lagi kesini",1,1,0,0,1,1,1,1
"Tempatnya dikelilingi kaca, lumayan nyaman dan cozy. Pelayanan cepat! Harga murah! Nice experience",0,0,1,1,0,1,1,1
"Mudah diakses, dekat dengan halte busway sawah besar. Lokasi di seberang mall gajah mada. Menu lengkap, ada mc cafe dan layanan drive thru juga. Untuk harga emang agak mahal",0,0,0,0,1,1,-1,1
Biaya makan di restoran ini terlalu tinggi untuk porsi yang kecil. Padahal makanannya hambar,-1,1,0,0,0,0,-1,1
"Makanannya lumayan, tapi nggak terlalu berkesaN. Pelayananya cepat sekali ",0,1,1,1,0,0,0,0
"Lokasi oke, makanan oke, pelayanan oke",0,1,0,1,0,1,0,0
Pelayanan sangaat buruukkkk. Kalau tidak mampu mepekerjakan kasir lebih baik tutup saja.. Masa sekelas mcdonald kekurangan pekerja?????? Mana harganya naik terus makin mahal,0,0,-1,1,0,0,-1,1
suasanya nyaman sekali pun membawa anak anak tetap bisa makan dengan tenang.tempatnya nya bersih tapi pelayanannya kurang ramah,0,0,-1,1,1,1,0,0
"untuk tempatnya bersih, harga terjangkau, tapi makanannya biasa saja.",0,1,0,0,1,1,1,1
"Pelayanannya parah, pesen mcflury cadburry with choco yang di kasih kaya mcflurry biasa.
  atau memang gambar ga sesuai realitanya? mesen karna liat postingan orang lain. Tapi untuk harga memang murah dan terjangkau",0,0,-1,1,0,0,1,1
"Pelayanan gak terlalu cepat dan cekatan, makanannya standar sih tapi harganya mahal",0,1,0,1,0,0,1,1
"Milonya kebanyakan air, gak ada rasa milonya sama sekali. Pas komplain katanya emg rasanya begitu. Lah gimana?? Gak sesuai sama harga",-1,1,-1,1,0,0,-1,1
"Makanannya kurang berasa, harga terlalu mahal, tapi tempatnya nyaman.",-1,1,0,0,1,1,-1,1
"Pelayanan nya sangat baik cukup puas sekali, ayam khimci nya juga mantull untuk burger nya disini ok bangetsih juara pokoknya",1,1,1,1,0,0,0,0
"Rasanya aneh, kayak ada yang kurang. Harga juga terlalu mahal.",-1,1,0,0,0,0,-1,1
"Tempat kurang nyaman, makanannya juga kurang menendang lidah. Harganya lumayan terjangkau",-1,1,0,0,-1,1,0,1
"Karyawannya kurang ramah, tapi menunya dan harganya worth it si",1,1,-1,1,0,0,1,1
"Harga makanan sangat terjangkau, tapi tempatnya kotor dan tidak nyaman.",0,0,0,0,-1,1,1,1
